Lietotājs, Jautājumu daudzums,Atbildes,Datums un laiks,Spēles garums,Rezultāts
Astra,5,3,2020.01.5. 14:25:46,13,250
Astra,5,4,2020.01.5. 14:32:44,13,189
Astra,5,5,2020.01.5. 14:34:20,9,217
Astra,5,3,2020.01.5. 14:38:07,11,294
user5,5,0,2020.01.5. 16:31:32,29,10000
user1,5,2,2020.01.5. 16:32:59,19,256
user1,5,2,2020.01.5. 16:33:33,23,213
user1,5,1,2020.01.5. 16:34:02,18,526
asrt,5,3,2020.01.5. 16:34:35,13,250
asrt,5,4,2020.01.5. 16:34:56,11,222
user5,5,4,2020.01.5. 16:36:09,17,145
Astra,5,2,2020.01.5. 18:01:56,17,286
Astra,5,3,2020.01.5. 18:04:29,11,294
Astra,5,2,2020.01.5. 18:05:23,11,435
Astra,5,2,2020.01.5. 18:06:46,13,370
user1,5,1,2020.01.5. 18:08:45,13,714
user1,5,3,2020.01.5. 18:13:35,8,400
user1,5,5,2020.01.5. 18:15:54,7,278
user1,5,3,2020.01.5. 18:34:27,16,204
Astra,5,3,2020.01.5. 18:40:27,12,270
Astra,5,4,2020.01.5. 18:41:43,12,204
user1,5,4,2020.01.5. 19:05:04,15,164
Vasya,5,4,2020.01.6. 23:37:45,38,65
Vasya,5,4,2020.01.7. 00:29:03,25,99
user1,5,0,2020.01.7. 00:30:34,32,10000
AAA,5,3,2020.01.31. 23:34:06,20,7500
AAA,5,3,2020.01.31. 23:34:32,22,6818
Astra,5,2,2020.01.31. 23:39:16,14,7143
Astra,5,5,2020.01.31. 23:40:08,24,10417
user1,5,4,2020.01.31. 23:42:56,23,8696
